Compound	InChI-Key
b-dgro-dgal-NON-2:6|1:a|2:keto|3:d	
guanosine 2',3'-cyclic monophosphate	InChIKey=UASRYODFRYWBRC-UUOKFMHZSA-M
2-chloromaleylacetate	InChIKey=QOHGUQUQCPIROQ-DAFODLJHSA-L
<i>N</i><SUP>8</SUP>-acetylspermidine	InChIKey=FONIWJIDLJEJTL-UHFFFAOYSA-P
3-phosphooxypyruvate	InChIKey=LFLUCDOSQPJJBE-UHFFFAOYSA-K
&gamma;-L-glutamyl-(<i>S</i>)-2-aminobutanoate	InChIKey=FUZOZPRKGAXGOB-WDSKDSINSA-M
ketoconazole	InChIKey=XMAYWYJOQHXEEK-ZEQKJWHPSA-N
3-<i>O</i>-methyl-D-mannose	InChIKey=SCBBSJMAPKXHAH-BWSJPXOBSA-N
31-norcycloartanol	InChIKey=RXPPOAQPYLFCAS-WXPWFURYSA-N
<i>S</i>-(2-succinyl)-L-cysteine	InChIKey=XPKKFTKCRVIDAG-WUCPZUCCSA-L
reduced &beta;-nicotinamide D-ribonucleotide	InChIKey=XQHMUSRSLNRVGA-TURQNECASA-L
4&alpha;-carboxy-5&alpha;-cholesta-8,24-dien-3&beta;-ol	InChIKey=JHIWIFRQJXLNEU-GSQAGGHASA-M
protoheme	InChIKey=KABFMIBPWCXCRK-RGGAHWMASA-J
ADP ribose 1'',2''-cyclic phosphate	InChIKey=NPSPRYXPOGPCPM-TYASJMOZSA-K
propane-1,3-diamine	InChIKey=XFNJVJPLKCPIBV-UHFFFAOYSA-P
(7,8-dihydropterin-6-yl)methyl diphosphate	InChIKey=FCQGJGLSOWZZON-UHFFFAOYSA-K
D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate	InChIKey=MRVYFOANPDTYBY-YORTWTKJSA-F
pyridoxamine	InChIKey=NHZMQXZHNVQTQA-UHFFFAOYSA-O
ADP-5-ethyl-4-methylthiazole-2-carboxylate	InChIKey=VGXBGQACJQRWLV-LKGUXBDMSA-K
<i>trans</i>-aconitate	InChIKey=GTZCVFVGUGFEME-HNQUOIGGSA-K
thiamine triphosphate	InChIKey=IWLROWZYZPNOFC-UHFFFAOYSA-K
&alpha;-D-galactopyranose	InChIKey=WQZGKKKJIJFFOK-PHYPRBDBSA-N
<i>aldehydo</i>-D-galactose	InChIKey=GZCGUPFRVQAUEE-KCDKBNATSA-N
pyrazinamide	InChIKey=IPEHBUMCGVEMRF-UHFFFAOYSA-N
(<i>S</i>)-NADHX	InChIKey=IDBZKGQRLBFUFQ-VPHRTNKSSA-L
[peptidyl-carrier protein] group	
a-dara-PEN-1:4	
glutarate semialdehyde	InChIKey=VBKPPDYGFUZOAJ-UHFFFAOYSA-M
5,10-methylenetetrahydropteroyl mono-L-glutamate	InChIKey=QYNUQALWYRSVHF-OLZOCXBDSA-L
glycolaldehyde	InChIKey=WGCNASOHLSPBMP-UHFFFAOYSA-N
obvatol	InChIKey=OPGPFZQBCIAFLI-UHFFFAOYSA-N
D-<i>myo</i>-inositol (1,4)-bisphosphate	InChIKey=PELZSPZCXGTUMR-RTPHHQFDSA-J
L-histidinol phosphate	InChIKey=CWNDERHTHMWBSI-YFKPBYRVSA-M
succinyl-CoA	InChIKey=VNOYUJKHFWYWIR-ITIYDSSPSA-I
x-lman-HEX-1:5|6:d	
p-chloromercuriphenylsulfonate	InChIKey=XXEBDPRHFAWOND-UHFFFAOYSA-L
porphyrin-ring	
5-methyluridine	InChIKey=DWRXFEITVBNRMK-JXOAFFINSA-N
allantoate	InChIKey=NUCLJNSWZCHRKL-UHFFFAOYSA-M
(<i>R</i>)-2-hydroxyhexadecanal	InChIKey=BKBDVQVDRVGXKT-MRXNPFEDSA-N
&alpha;-D-galactose 6-phosphate	InChIKey=NBSCHQHZLSJFNQ-PHYPRBDBSA-L
<i>S</i>-sulfanylglutathione	InChIKey=QBOLVLBSUGJHGB-WDSKDSINSA-M
cytidine 2'-monophosphate	InChIKey=YQUAKORMLHPSLZ-XVFCMESISA-L
pyridoxine 5'-phosphate	InChIKey=WHOMFKWHIQZTHY-UHFFFAOYSA-L
<i>aci</i>-nitroethane	InChIKey=CPZLOQHKKRZRSD-UHFFFAOYSA-N
thymine	InChIKey=RWQNBRDOKXIBIV-UHFFFAOYSA-N
&beta;-D-mannopyranose 6-phosphate	InChIKey=NBSCHQHZLSJFNQ-RWOPYEJCSA-L
(<i>Z</i>)-2-aminobutenoate	InChIKey=PAWSVPVNIXFKOS-IHWYPQMZSA-N
CMP	InChIKey=IERHLVCPSMICTF-XVFCMESISA-L
quinidine	InChIKey=LOUPRKONTZGTKE-JUMJFMMLSA-O
tetrahydromethanopterin	InChIKey=SCBIBGUJSMHIAI-LHIIQLEZSA-K
nitrate	InChIKey=NHNBFGGVMKEFGY-UHFFFAOYSA-N
&alpha;-D-rhamnopyranose	InChIKey=SHZGCJCMOBCMKK-PQMKYFCFSA-N
a-HEX-1:5|6:a	
(3<i>E</i>,5<i>Z</i>)-tetradeca-3,5-dienoate	InChIKey=YRUMHTHCEZRHTN-XAZJVICWSA-M
oxalosuccinate	InChIKey=UFSCUAXLTRFIDC-UHFFFAOYSA-K
2-oleoyl-<i>sn</i>-glycero-3-phosphoethanolamine	InChIKey=NOVZJYYJYIFXJC-MZMPXXGTSA-N
riboflavin	InChIKey=AUNGANRZJHBGPY-SCRDCRAPSA-M
canavaninosuccinate	InChIKey=SGYMGUGIGTWWLU-ROLXFIACSA-M
L-<I>allo</I>-threonine	InChIKey=AYFVYJQAPQTCCC-HRFVKAFMSA-N
(<i>R</i>)-lactate	InChIKey=JVTAAEKCZFNVCJ-UWTATZPHSA-M
dGMP	InChIKey=LTFMZDNNPPEQNG-KVQBGUIXSA-L
ethanolamine	InChIKey=HZAXFHJVJLSVMW-UHFFFAOYSA-O
spermidine	InChIKey=ATHGHQPFGPMSJY-UHFFFAOYSA-Q
methylarsonous acid	InChIKey=OXBIRPQQKCQWGV-UHFFFAOYSA-N
dihydrogen phosphate	InChIKey=NBIIXXVUZAFLBC-UHFFFAOYSA-M
(L-threonyl)adenylate	InChIKey=YYBNSQASHCKPHX-DWVDDHQFSA-N
D-<i>erythro</i>-7,8-dihydroneopterin	InChIKey=YQIFAMYNGGOTFB-XINAWCOVSA-N
5-iso prostaglandin F<sub>2&alpha;</sub>-VI	InChIKey=RZCPXIZGLPAGEV-SUHLLOIRSA-M
(glutathion-<i>S</i>-yl)-bimane	InChIKey=KPJNKLWIESQKCG-STQMWFEESA-M
D-<i>myo</i>-inositol (1,4,5)-trisphosphate	InChIKey=MMWCIQZXVOZEGG-XJTPDSDZSA-H
&alpha;-D-galacturonate	InChIKey=AEMOLEFTQBMNLQ-BKBMJHBISA-M
Zn<SUP>2+</SUP>	InChIKey=PTFCDOFLOPIGGS-UHFFFAOYSA-N
(S)-3-chloro-1-phenyl-1-propanol	InChIKey=JZFUHAGLMZWKTF-SECBINFHSA-N
CDTA	InChIKey=FCKYPQBAHLOOJQ-UHFFFAOYSA-N
b-lgal-HEX-1:5|6:d	
cholesterol	InChIKey=HVYWMOMLDIMFJA-DPAQBDIFSA-N
&alpha;-D-ribulofuranose	InChIKey=LQXVFWRQNMEDEE-WDCZJNDASA-N
protoporphyrin IX	InChIKey=KSFOVUSSGSKXFI-UJJXFSCMSA-L
3-<i>all trans</i>-hexaprenyl-4-hydroxy-5-methoxybenzoate	InChIKey=YSZSVGFMAJXGMQ-FRICUITQSA-M
<i>S</i>-methyl-L-methionine	InChIKey=YDBYJHTYSHBBAU-YFKPBYRVSA-O
&alpha;-D-xylopyranose	InChIKey=SRBFZHDQGSBBOR-LECHCGJUSA-N
&alpha;-D-mannopyranose 6-phosphate	InChIKey=NBSCHQHZLSJFNQ-PQMKYFCFSA-L
biotin	InChIKey=YBJHBAHKTGYVGT-ZKWXMUAHSA-M
2-(glutathion-<i>S</i>-yl)-2-carboxypropane	InChIKey=JQWABENXVMJJMW-NPPUSCPJSA-L
(<i>S</i>)-2-amino-6-oxohexanoate	InChIKey=GFXYTQPNNXGICT-YFKPBYRVSA-N
(L-arginyl)adenylate	InChIKey=AJYPLWAQPDERQG-TWBCTODHSA-O
an acp domain within a type I fatty acid synthase	
(3R)-hydroxy- 5-<i>cis</i>, 7-<i>trans</i>-tetradecadienoyl-CoA	InChIKey=ZZVZPDQTNSJQPZ-VOXMGFCCSA-J
<i>trans</i>-cerot-2-enoyl-CoA	InChIKey=GGUUXBBWTGIIGE-KESUDTCVSA-J
inosine	InChIKey=UGQMRVRMYYASKQ-KQYNXXCUSA-N
fumonisin B<sub>1</sub>	InChIKey=UVBUBMSSQKOIBE-DSLOAKGESA-K
GTP	InChIKey=XKMLYUALXHKNFT-UUOKFMHZSA-J
1D-<i>myo</i>inositol 5-diphosphate 1,2,3,4,6-pentakisphosphate	InChIKey=UPHPWXPNZIOZJL-KXXVROSKSA-A
&beta;-D-glucose 6-phosphate	InChIKey=NBSCHQHZLSJFNQ-VFUOTHLCSA-L
L-threonine	InChIKey=AYFVYJQAPQTCCC-GBXIJSLDSA-N
2'-deoxycytidine	InChIKey=CKTSBUTUHBMZGZ-SHYZEUOFSA-N
(2<i>R</i>,3<i>S</i>)-3-isopropylmalate	InChIKey=RNQHMTFBUSSBJQ-CRCLSJGQSA-L
kifunensine	InChIKey=OIURYJWYVIAOCW-PQMKYFCFSA-N
1-[18-hydroxyoeoyl]-2-[18-hydroxy-linoleoyl]-<i>sn</i>-glycerol	InChIKey=RCALBBVHQNUWNO-OSFDYRCISA-N
x-PEN-1:4	
benzoate	InChIKey=WPYMKLBDIGXBTP-UHFFFAOYSA-M
a phosphate group	
<i>O</i>-phosphoethanolamine	InChIKey=SUHOOTKUPISOBE-UHFFFAOYSA-M
L-tryptophan	InChIKey=QIVBCDIJIAJPQS-VIFPVBQESA-N
&beta;-D-fructofuranose 1-phosphate	InChIKey=RHKKZBWRNHGJEZ-ARQDHWQXSA-L
presqualene diphosphate	InChIKey=ATZKAUGGNMSCCY-QLYDTTAWSA-K
2-(formamido)-N<sup>1</sup>-(5-phospho-&beta;-D-ribosyl)acetamidine	InChIKey=PMCOGCVKOAOZQM-XVFCMESISA-M
5-fluorouracil	InChIKey=GHASVSINZRGABV-UHFFFAOYSA-N
6-<i>trans</i>-tridecenoyl-CoA	InChIKey=UUIVZEBYPBPKLL-HMXWSVNBSA-J
dADP	InChIKey=DAEAPNUQQAICNR-RRKCRQDMSA-K
<i>N</i>-(1-deoxy-D-fructos-1-yl)-L-glutamine	InChIKey=UXVGPBLLNUTXSC-AJGMQJJTSA-N
a pyrophosphate group	
7,8-dihydropteroate	InChIKey=WBFYVDCHGVNRBH-UHFFFAOYSA-M
(<i>2E,6E</i>)-farnesol	InChIKey=CRDAMVZIKSXKFV-YFVJMOTDSA-N
ethylphosphate	InChIKey=ZJXZSIYSNXKHEA-UHFFFAOYSA-L
<i>trans-(S</i>)-nicotine N<sup>1'</sup>-oxide	InChIKey=RWFBQHICRCUQJJ-JQWIXIFHSA-N
Co<SUP>2+</SUP>	InChIKey=XLJKHNWPARRRJB-UHFFFAOYSA-N
CMP group	
<i>sn</i>-glycerol 3-phosphate	InChIKey=AWUCVROLDVIAJX-GSVOUGTGSA-L
lauroyl-CoA	InChIKey=YMCXGHLSVALICC-GMHMEAMDSA-J
1,2-dibutyrin	InChIKey=AWHAUPZHZYUHOM-VIFPVBQESA-N
b-xxyl-PEN-1:5	
purine-ring	
(<i>S</i>)-(+)-allantoin	InChIKey=POJWUDADGALRAB-SFOWXEAESA-N
10-<i>trans</i>-heptadecenoyl-CoA	InChIKey=KFMWWNZRDBMYES-HEVZYKJKSA-J
coenzyme A	InChIKey=RGJOEKWQDUBAIZ-IBOSZNHHSA-J
4&alpha;-formyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol	InChIKey=ZLQSSFNCEUGGJF-NUESBDPTSA-N
ergosta-5,7,22,24(28)-tetraen-3&beta;-ol	InChIKey=SQFQJKZSFOZDJY-CVGLIYDESA-N
x-lara-PEN-1:4	
x-dgal-HEX-1:5	
triphosphate	InChIKey=UNXRWKVEANCORM-UHFFFAOYSA-J
4-methylsalicylate	InChIKey=NJESAXZANHETJV-UHFFFAOYSA-M
&beta;-D-fructofuranose	InChIKey=RFSUNEUAIZKAJO-ARQDHWQXSA-N
fecosterol	InChIKey=SLQKYSPHBZMASJ-QKPORZECSA-N
(L-glutaminyl)adenylate	InChIKey=WHAIODPVLKHEHE-LTOLZBHSSA-N
5-fluorocytosine	InChIKey=XRECTZIEBJDKEO-UHFFFAOYSA-N
&beta;-D-glucuronate	InChIKey=AEMOLEFTQBMNLQ-QIUUJYRFSA-M
(<i>R</i>)-S-adenosyl-L-methionine	InChIKey=MEFKEPWMEQBLKI-TYYLHDHTSA-O
7,8-dihydromonapterin	InChIKey=YQIFAMYNGGOTFB-NJGYIYPDSA-N
L-selenocysteine	InChIKey=ZKZBPNGNEQAJSX-REOHCLBHSA-N
coniferyl acetate	InChIKey=XLZFUNZRKIQHOL-ONEGZZNKSA-N
ergosta-5,7,24(28)-trien-3&beta;-ol	InChIKey=ZEPNVCGPJXYABB-LOIOQLKMSA-N
pyridine-ring	
&beta;-D-fructose 2,6-bisphosphate	InChIKey=YXWOAJXNVLXPMU-ZXXMMSQZSA-J
<i>N,N</i>'-dicyclohexylcarbodiimide	InChIKey=QOSSAOTZNIDXMA-UHFFFAOYSA-N
C52-&alpha;-meroacyl-adenylate	InChIKey=WEZKVQUDSKEODW-VMDFNRFRSA-M
4-acetamidobutanal	InChIKey=DDSLGZOYEPKPSJ-UHFFFAOYSA-N
H<sub>2</sub>O	InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
L-aspartyl-4-phosphate	InChIKey=IXZNKTPIYKDIGG-REOHCLBHSA-L
Fe<sup>2+</sup>	InChIKey=CWYNVVGOOAEACU-UHFFFAOYSA-N
UDP	InChIKey=XCCTYIAWTASOJW-XVFCMESISA-K
<i>S</i>-nitrosoglutathione	InChIKey=HYHSBSXUHZOYLX-WDSKDSINSA-M
4&alpha;-hydroxymethyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol	InChIKey=LEUVIESGHNFBEK-WKYRUEGDSA-N
<i>aldehydo</i>-L-arabinose	InChIKey=PYMYPHUHKUWMLA-VAYJURFESA-N
galactitol	InChIKey=FBPFZTCFMRRESA-GUCUJZIJSA-N
vanadate	InChIKey=LSGOVYNHVSXFFJ-UHFFFAOYSA-N
1D-<i>myo</i>-inositol 3-diphosphate 1,2,4,5,6-pentakisphosphate	InChIKey=UPHPWXPNZIOZJL-PTQMNWPWSA-B
(6R)-L-<i>threo</i>-6,7-dihydrobiopterin	InChIKey=ZHQJVZLJDXWFFX-MRKVFDINSA-N
sucrose 6<sup>G</sup>-phosphate	InChIKey=WQQSIXKPRAUZJL-UGDNZRGBSA-L
(3R)-hydroxy, 4-<i>trans</i>-undecenoyl-CoA	InChIKey=ANVRIWFXMMCUPH-QYZXFXBMSA-J
Cu<SUP>2+</SUP>	InChIKey=JPVYNHNXODAKFH-UHFFFAOYSA-N
&gamma;-L-glutamyl-[(<i>S</i>)-allyl]-L-cysteine	InChIKey=FUTHBNRZCFKVQZ-YUMQZZPRSA-M
HX	
melittin	InChIKey=VDXZNPDIRNWWCW-JFTDCZMZSA-T
2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	InChIKey=OCLCLRXKNJCOJD-UMMCILCDSA-L
L-histidine	InChIKey=HNDVDQJCIGZPNO-YFKPBYRVSA-N
an amino group	
selenite	InChIKey=MCAHWIHFGHIESP-UHFFFAOYSA-L
5-<i>cis</i>, 7-<i>trans</i>-tetradecadienoyl-CoA	InChIKey=AMANZGDVBADZLH-QTJPLKLFSA-J
(3<i>R</i>,5<i>S</i>)-3-hydroxy-1-pyrroline-5-carboxylate	InChIKey=WFOFKRKDDKGRIK-DMTCNVIQSA-M
3-methylbenzyl alcohol	InChIKey=JJCKHVUTVOPLBV-UHFFFAOYSA-N
(E)-2-(methoxycarbonylmethyl)butenedioate	InChIKey=MRNZYUAGJLJQAM-DUXPYHPUSA-L
ADP ribose 1''-phosphate	InChIKey=CUNFRFHBHMFVPH-TYASJMOZSA-J
<i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide	InChIKey=OBQMLSFOUZUIOB-SHUUEZRQSA-M
4-guanidinobutanamide	InChIKey=YHVFECVVGNXFKO-UHFFFAOYSA-O
butanoate	InChIKey=FERIUCNNQQJTOY-UHFFFAOYSA-M
cycloartenol	InChIKey=ONQRKEUAIJMULO-YBXTVTTCSA-N
(L-seryl)adenylate	InChIKey=UVSYURUCZPPUQD-MACXSXHHSA-N
hydrogen carbonate	InChIKey=BVKZGUZCCUSVTD-UHFFFAOYSA-M
enol-phenylpyruvate	InChIKey=DEDGUGJNLNLJSR-VURMDHGXSA-M
(<i>S</i>)-3-hydroxy-3-methylglutaryl-CoA	InChIKey=CABVTRNMFUVUDM-VRHQGPGLSA-I
6-diazo-5-oxo-L-norleucine	InChIKey=YCWQAMGASJSUIP-YFKPBYRVSA-N
b-dgal-HEX-1:5	
mevalonolactone	InChIKey=JYVXNLLUYHCIIH-LURJTMIESA-N
2-keto-6-acetamidocaproate	InChIKey=NGCXIFFZXAZRAF-UHFFFAOYSA-M
EGTA	InChIKey=DEFVIWRASFVYLL-UHFFFAOYSA-J
a-dglc-HEX-1:5	
<i>N</i>-acetylglutamyl-phosphate	InChIKey=FCVIHFVSXHOPSW-YFKPBYRVSA-K
b-dxyl-PEN-1:5	
lanthionine	InChIKey=DWPCPZJAHOETAG-IMJSIDKUSA-N
dCMP	InChIKey=NCMVOABPESMRCP-SHYZEUOFSA-L
pyruvate	InChIKey=LCTONWCANYUPML-UHFFFAOYSA-M
docosanoyl-CoA	InChIKey=NDDZLVOCGALPLR-GNSUAQHMSA-J
2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate	InChIKey=XWECMAHAKFWYNV-UHFFFAOYSA-K
(<i>S</i>)-2-acetolactate	InChIKey=NMDWGEGFJUBKLB-YFKPBYRVSA-M
mercuric chloride	InChIKey=LWJROJCJINYWOX-UHFFFAOYSA-L
4&alpha;-methyl ergosta-8,25(27)-dienol	InChIKey=PXXNMGZTESSBFJ-UFMHMSNJSA-N
Cu<SUP>+</SUP>	InChIKey=VMQMZMRVKUZKQL-UHFFFAOYSA-N
guanosine 2'-monophosphate	InChIKey=WTIFIAZWCCBCGE-UUOKFMHZSA-L
4&alpha;-methyl-5&alpha;-ergosta-8,14,24(28)-trien-3&beta;-ol	InChIKey=HLAWVOWADPNAGN-BAHZUFOISA-N
putrescine	InChIKey=KIDHWZJUCRJVML-UHFFFAOYSA-P
cerotoyl-CoA	InChIKey=FHLYYFPJDVYWQH-CPIGOPAHSA-J
(R,S)-2,3-butanediol	InChIKey=OWBTYPJTUOEWEK-ZXZARUISSA-N
1-18:1-2-18:1-phosphatidylethanolamine	InChIKey=MWRBNPKJOOWZPW-NYVOMTAGSA-N
L-citrulline	InChIKey=RHGKLRLOHDJJDR-BYPYZUCNSA-N
maltotriose	InChIKey=FYGDTMLNYKFZSV-DZOUCCHMSA-N
pyridoxal 5'-phosphate	InChIKey=NGVDGCNFYWLIFO-UHFFFAOYSA-L
(<i>R</i>)-4-hydroxy-4-methyl-2-oxoglutarate	InChIKey=YRWAMSXHYBBHFL-ZCFIWIBFSA-L
<i>keto</i>-D-ribulose	InChIKey=ZAQJHHRNXZUBTE-NQXXGFSBSA-N
O-ureido-L-homoserine	InChIKey=SFYVZOSIAIZWQU-VKHMYHEASA-N
a-dglc-HEX-1:5|6:d	
&alpha;,&alpha;-trehalose	InChIKey=HDTRYLNUVZCQOY-LIZSDCNHSA-N
(2E,4Z)-deca-2,4-dienoyl-CoA	InChIKey=FASAKYLWSRDQOH-IMVFQKDNSA-J
S<sup>2-</sup>	InChIKey=UCKMPCXJQFINFW-UHFFFAOYSA-N
UMP	InChIKey=DJJCXFVJDGTHFX-XVFCMESISA-L
4,4-dimethyl-5-&alpha;-cholesta-8,14,24-trien-3-&beta;-ol	InChIKey=LFQXEZVYNCBVDO-PBJLWWPKSA-N
<i>N</i>-methyl-<i>N</i>-[(2<i>S</i>)-1-phenylpropan-2-yl]hydroxylamine	InChIKey=PCDVFYKROPOLBF-VIFPVBQESA-N
terbinafine	InChIKey=DOMXUEMWDBAQBQ-WEVVVXLNSA-O
sphinganine 1-phosphate	InChIKey=YHEDRJPUIRMZMP-ZWKOTPCHSA-M
D-serine	InChIKey=MTCFGRXMJLQNBG-UWTATZPHSA-N
L-saccharopine	InChIKey=ZDGJAHTZVHVLOT-YUMQZZPRSA-M
lipid A 1-(2-aminoethyl diphosphate) (<i>E. coli</i>)	InChIKey=FOCHAVFXCSYXDE-MCJXJNKNSA-K
L-<i>erythro</i>-7,8-dihydrobiopterin	InChIKey=FEMXZDUTFRTWPE-DZSWIPIPSA-N
N<sup>6</sup>-(D-glucosyl)-L-lysine	InChIKey=IGBBBLSQXFDCHI-MIDKXNQYSA-O
cytosine	InChIKey=OPTASPLRGRRNAP-UHFFFAOYSA-N
(2<i>E</i>)-tetradec-2-enoyl-CoA	InChIKey=MBCVYCOKMMMWLX-YYMFEJJQSA-J
phosphatidylglycerolphosphate (1-oleoyl, 2-palmitoyl)	InChIKey=WQMDYQSTTXRXLQ-HGWHEPCSSA-K
GDP	InChIKey=QGWNDRXFNXRZMB-UUOKFMHZSA-K
9,10-DiHODE	InChIKey=QRHSEDZBZMZPOA-ZJSQCTGTSA-M
(<i>R</i>)-NADPHX	InChIKey=SZKXTJUOKARGIY-MTKBYBFRSA-J
(<i>S</i>)-propane-1,2-diol	InChIKey=DNIAPMSPPWPWGF-VKHMYHEASA-N
hypusine	InChIKey=BZUIJMCJNWUGKQ-BDAKNGLRSA-P
propionamide	InChIKey=QLNJFJADRCOGBJ-UHFFFAOYSA-N
dCTP	InChIKey=RGWHQCVHVJXOKC-SHYZEUOFSA-J
3-dehydroquinate	InChIKey=WVMWZWGZRAXUBK-SYTVJDICSA-M
<i>S</i>-adenosyl-L-homocysteine	InChIKey=ZJUKTBDSGOFHSH-WFMPWKQPSA-N
(3<i>S</i>)-3-methyl-2-oxopentanoate	InChIKey=JVQYSWDUAOAHFM-BYPYZUCNSA-M
4-<i>cis</i>-undecenoyl-CoA	InChIKey=AFMMIIQKXQNEDN-NSDZGHCESA-J
(octanoyl)adenylate	InChIKey=AJYSFZDSJUTHRW-XKLVTHTNSA-M
(<i>R</i>)-2,3-dihydroxy-3-methylpentanoate	InChIKey=PDGXJDXVGMHUIR-UJURSFKZSA-M
ATP	InChIKey=ZKHQWZAMYRWXGA-KQYNXXCUSA-J
1-deoxymannojirimycin	InChIKey=LXBIFEVIBLOUGU-KVTDHHQDSA-O
GDP group	
triacetylfusarinine C	InChIKey=UIVTVLVVAXJPKM-IJGXQDLJSA-N
1-stearoyl-<i>sn</i>-glycerol	InChIKey=VBICKXHEKHSIBG-FQEVSTJZSA-N
2-deoxy-&alpha;-D-ribose 1-phosphate	InChIKey=KBDKAJNTYKVSEK-VPENINKCSA-L
iron(III)-[<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine trimer] complex	InChIKey=QNAUHHROLOGFEY-UVJOBNTFSA-G
monodehydroascorbate radical	InChIKey=LHFJOBMTAJJOTB-JLAZNSOCSA-N
b-HEX-1:5|6:a	
CDP-<i>N</i>-dimethylethanolamine	InChIKey=FOYCPAILIPEVBT-HJQYOEGKSA-M
mono-<i>trans</i>,octa-<i>cis</i>-decaprenyl group	
<i>S</i>-formylglutathione	InChIKey=FHXAGOICBFGEBF-BQBZGAKWSA-M
(R,R)-2,3-butanediol	InChIKey=OWBTYPJTUOEWEK-QWWZWVQMSA-N
3-methyl-2-oxobutanoate	InChIKey=QHKABHOOEWYVLI-UHFFFAOYSA-M
3-aminopropanal	InChIKey=PCXDJQZLDDHMGX-UHFFFAOYSA-O
biotinyl-5'-adenylate	InChIKey=UTQCSTJVMLODHM-RHCAYAJFSA-M
IMP	InChIKey=GRSZFWQUAKGDAV-KQYNXXCUSA-L
2,5-dichloro-<i>trans</i>-dienelactone	InChIKey=XJQKWSUIZRECMR-ONEGZZNKSA-M
[(<i>R</i>)-lipoyl]adenylate	InChIKey=QWEGOCJRZOKSOE-ADUAKINBSA-M
3-demethylubiquinol-6	InChIKey=ZQXNZNKHQXLVCV-HGJBZHBGSA-N
3-<i>all trans</i>-hexaprenyl-4-amino-5-methoxybenzoate	InChIKey=DNPLRSNKHVWUBM-FRICUITQSA-M
arsenous acid	InChIKey=GCPXMJHSNVMWNM-UHFFFAOYSA-N
b-PEN-1:5	
cytidine	InChIKey=UHDGCWIWMRVCDJ-XVFCMESISA-N
adenylosuccinate	InChIKey=OFBHPPMPBOJXRT-VWJPMABRSA-J
arachidoyl-CoA	InChIKey=JYLSVNBJLYCSSW-IBYUJNRCSA-J
2-<i>all-trans</i>-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinol	InChIKey=ATQQULXELMEJIX-NSUIJKAQSA-N
hydroxyferroheme <i>i</i>	InChIKey=WLGRCQGURUMQMH-JEZRNDINSA-J
a-lgal-HEX-1:5|6:d	
4-phosphooxy-L-threonine	InChIKey=FKHAKIJOKDGEII-GBXIJSLDSA-L
geranyl diphosphate	InChIKey=GVVPGTZRZFNKDS-JXMROGBWSA-K
&beta;-D-ribosylnicotinate	InChIKey=PUEDDPCUCPRQNY-ZYUZMQFOSA-N
L-isoleucine	InChIKey=AGPKZVBTJJNPAG-WHFBIAKZSA-N
methanethiol	InChIKey=LSDPWZHWYPCBBB-UHFFFAOYSA-N
2-deoxy-D-glucose 6-phosphate	InChIKey=UQJFZAAGZAYVKZ-CERMHHMHSA-L
<i>aldehydo</i>-D-ribose 5-phosphate	InChIKey=PPQRONHOSHZGFQ-LMVFSUKVSA-L
precorrin-2	InChIKey=OQIIYZQTTMKFAU-ZNLOQLQNSA-G
hexanoyl-CoA	InChIKey=OEXFMSFODMQEPE-HDRQGHTBSA-J
4&alpha;-methyl-5&alpha;-cholesta-8-en-3-ol	InChIKey=SCEZIHJVTBQOLS-YIJYGBTNSA-N
&beta;-D-fructofuranose 1,6-bisphosphate	InChIKey=RNBGYGVWRKECFJ-ARQDHWQXSA-J
carboxyphosphate	InChIKey=LQQCGEGRINLHDP-UHFFFAOYSA-L
Mn<SUP>2+</SUP>	InChIKey=WAEMQWOKJMHJLA-UHFFFAOYSA-N
(<i>E</i>)-4-coumaroyl-CoA	InChIKey=DMZOKBALNZWDKI-MATMFAIHSA-J
stearoyl-CoA	InChIKey=SIARJEKBADXQJG-LFZQUHGESA-J
pteridine-ring	
arsenic trioxide	InChIKey=GOLCXWYRSKYTSP-UHFFFAOYSA-N
3-hydroxy-L-kynurenine	InChIKey=VCKPUUFAIGNJHC-LURJTMIESA-N
6-phospho D-glucono-1,5-lactone	InChIKey=IJOJIVNDFQSGAB-SQOUGZDYSA-L
4-amino-4-deoxychorismate	InChIKey=OIUJHGOLFKDBSU-HTQZYQBOSA-M
<i>aldehydo</i>-D-galacturonate	InChIKey=IAJILQKETJEXLJ-RSJOWCBRSA-M
<i>O</i>-acetyl-L-serine	InChIKey=VZXPDPZARILFQX-BYPYZUCNSA-N
(2<i>S</i>)-2-isopropyl-3-oxosuccinate	InChIKey=HIIZAGQWABAMRR-BYPYZUCNSA-L
cyclic-AMP	InChIKey=IVOMOUWHDPKRLL-KQYNXXCUSA-M
ferrioxamine B	
<i>di-trans,trideca-cis</i>-tetradecaprenyl diphosphate	InChIKey=TUNIPIPDJADHSR-HIQRJCTMSA-K
(<i>R</i>)-NADHX	InChIKey=IDBZKGQRLBFUFQ-MTKBYBFRSA-L
